what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1336943236843
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1336943274427
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1336943298520
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1336943306132
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1336943308240
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1336943310188
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1336943311117
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1336943320096
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1336943335597
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1336943347874
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336943387430
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336943389495
activated,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.LogCatView",1336943389594
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336943394607
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336943404075
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336943404147
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336943411349
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336943419837
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336943421682
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336943427583
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1336943440254
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1336943442752
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1336943444312
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1336943445921
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336943455935
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336943462826
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1336943464363
activated,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.LogCatView",1336943467641
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336943469716
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336943473639
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336943490480
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336943494986
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336943497386
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336943502389
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1336943511909
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336943512183
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1336943521178
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1336943525787
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336943527299
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336943529832
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1336943557892
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336943561502
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336943587306
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336943587372
activated,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.LogCatView",1336943588174
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336943593166
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336943594786
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336943594913
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336943596053
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336943604089
activated,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.LogCatView",1336943606349
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336943630687
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336943702421
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336943708539
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336943747560
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336943750833
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1336943789448
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1336943793832
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336944706212
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336962916212
activated,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.LogCatView",1336962938458
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336962941459
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336977328695
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336977334795
