what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336874211687
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1336874231351
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336874231571
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336874233984
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336874235076
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336874235076
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1336874247384
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1336874249376
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1336874250667
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1336874256074
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1336874256979
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1336874270294
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336874282237
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336874332213
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336874332293
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336874334980
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336874347972
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336874350618
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1336874350693
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336874355230
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336874356136
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336874388253
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336874413040
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336874415340
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1336874426986
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1336874470620
activated,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.LogCatView",1336874472117
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336874473765
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336874478230
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336874478268
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1336874485748
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336874487198
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336874489599
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336874493283
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336874507193
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1336874518715
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336874520073
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336875018641
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1336875024243
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336875027330
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336875028568
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336875033649
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336875042939
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336875043538
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336875057901
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336875061045
error,log,,,"",1336875079992
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336875080190
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1336875080213
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1336875080307
